accession,ncbi_name,gtdb_name,class,proposed_order
GCA_001464275.1,Actinobacteria bacterium Ga0077560,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Ga0077560; f__Ga0077560; g__Ga0077560; s__Ga0077560 sp001464275,Thermoleophilia,Ga0077560
GCA_001464995.1,Actinobacteria bacterium Ga0077541,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Ga0077560; f__Ga0077560; g__Ga0077541; s__Ga0077541 sp001464995,Thermoleophilia,Ga0077560
GCA_001768675.1,Actinobacteria bacterium RBG_16_64_13,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__RBG-16-64-13; f__RBG-16-64-13; g__RBG-16-64-13; s__RBG-16-64-13 sp001768675,Thermoleophilia,RBG-16-64-13
GCA_001914705.1,Actinobacteria bacterium 13_2_20CM_68_14,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__13-2-20CM-68-14; s__13-2-20CM-68-14 sp001914705,Thermoleophilia,20CM-4-69-9
GCA_001920085.1,Actinobacteria bacterium 13_1_20CM_4_69_9,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__3-1-20CM-4-69-9; s__3-1-20CM-4-69-9 sp001920085,Thermoleophilia,20CM-4-69-9
GCA_001920325.1 ,Actinobacteria bacterium 13_1_20CM_3_68_9 ,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__3-1-20CM-4-69-9; s__3-1-20CM-4-69-9 sp001920085,Thermoleophilia,20CM-4-69-9
GCA_002897715.1,bacterium BMS3Abin01,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__BMS3ABIN01; f__BMS3ABIN01; g__BMS3ABIN01; s__BMS3ABIN01 sp002897715,Thermoleophilia,BMS3ABIN01
GCA_002898855.1 ,bacterium HR41,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Thermoleophilaceae; g__Thermoleophilum; s__Thermoleophilum sp002898855,Thermoleophilia,Solirubrobacterales
GCA_002919115.1,bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9; g__RSA11; s__RSA11 sp002919115,Thermoleophilia,Solirubrobacterales
GCA_003132585.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__PALSA-647; s__PALSA-647 sp003132585,Thermoleophilia,UBA2241
GCA_003132645.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003132645,Thermoleophilia,UBA2241
GCA_003132665.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003132665,Thermoleophilia,20CM-4-69-9
GCA_003134505.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__PALSA-612; s__PALSA-612 sp003134505,Thermoleophilia,20CM-4-69-9
GCA_003136795.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__PALSA-600; s__PALSA-600 sp003136795,Thermoleophilia,20CM-4-69-9
GCA_003139545.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Palsa-739; s__Palsa-739 sp003139545,Thermoleophilia,20CM-4-69-9
GCA_003139575.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Palsa-739; s__Palsa-739 sp003152275,Thermoleophilia,20CM-4-69-9
GCA_003152275.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Palsa-739; s__Palsa-739 sp003152275,Thermoleophilia,20CM-4-69-9
GCA_003157225.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__RBG-16-64-13; f__RBG-16-64-13; g__RBG-16-64-13; s__RBG-16-64-13 sp003157225,Thermoleophilia,RBG-16-64-13
GCA_003157275.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003157415.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003164655,Thermoleophilia,UBA2241
GCA_003157435.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003157595.1,Solirubrobacterales bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Palsa-513; s__Palsa-513 sp003157595,Thermoleophilia,Solirubrobacterales
GCA_003157715.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003157715,Thermoleophilia,UBA2241
GCA_003158705.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__FEN-672; s__FEN-672 sp003158705,Thermoleophilia,UBA2241
GCA_003159035.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003161615.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Palsa-739; s__Palsa-739 sp003161615,Thermoleophilia,20CM-4-69-9
GCA_003162055.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003162125.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003162235.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162235,Thermoleophilia,20CM-4-69-9
GCA_003162355.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003162055,Thermoleophilia,20CM-4-69-9
GCA_003164655.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003164655,Thermoleophilia,UBA2241
GCA_003170155.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003170155,,20CM-4-69-9
GCA_003170895.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003132645,,UBA2241
GCA_003170995.1,Actinobacteria bacterium,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003170995,,20CM-4-69-9
GCA_003351045.1 ,Gaiella occulta,na,Thermoleophilia,na