phyla,sulfur_dioxygenase_sdo,cysC_TIGR00455,cysN_TIGR02034,FeFeHydrogenase_TIGR02512,Hydrogenase_Group_1,Hydrogenase_Group_3b,Hydrogenase_Group_3c,Hydrogenase_Group_3d,Hydrogenase_Group_4,nifA_Mo_TIGR01282,nifB_Mo_TIGR01286,nifH_TIGR01287,nrfA_PF02335,coxB_TIGR02866,cyoE_TIGR01473,cydA_PF01654,cydB_TIGR00203,rubisco_form_IV,propionyl_coA_synthase,malonyl_coA_reductase,X4_hydroxybutyryl_coA_dehydrogenase,X4_hydroxybutyryl_coA_synthetase,ars_thioredoxin_TIGR02691,hgcA
Acidobacteria,60,40,40,0,0,80,60,60,40,20,20,20,60,80,80,100,100,20,100,100,40,60,60,100
Actinobacteria,7.69,7.69,0,46.15,69.23,53.85,7.69,0,15.38,0,0,7.69,23.08,15.38,46.15,38.46,30.77,53.85,84.62,100,46.15,84.62,7.69,100
Aminicenantes,77.78,88.89,11.11,11.11,44.44,22.22,22.22,33.33,33.33,0,0,0,22.22,11.11,11.11,44.44,55.56,22.22,88.89,100,11.11,22.22,44.44,100
Bacteroidetes,6.25,31.25,84.38,84.38,15.62,0,6.25,12.5,21.88,0,0,0,25,62.5,59.38,84.38,84.38,3.12,100,100,0,71.88,90.62,100
Chlorobi,0,0,0,91.67,16.67,50,41.67,83.33,0,8.33,0,0,66.67,75,75,75,83.33,0,100,100,0,75,91.67,100
Chloroflexi,65.22,26.09,0,17.39,17.39,0,39.13,30.43,8.7,4.35,0,30.43,13.04,17.39,43.48,34.78,34.78,26.09,95.65,100,4.35,60.87,13.04,100
Deltaproteobacteria,82.68,42.46,24.02,30.73,58.1,26.82,30.17,32.4,13.97,42.46,42.46,45.25,50.84,37.43,35.2,73.74,67.04,38.55,100,100,44.69,85.47,59.22,100
Eisenbacteria,0,100,0,100,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,100,0,100,0,100
Elusimicrobia,93.75,0,0,37.5,0,43.75,37.5,0,81.25,0,0,6.25,25,12.5,12.5,31.25,31.25,6.25,93.75,100,6.25,56.25,25,100
Euryarchaeota,35.19,1.85,3.7,0,3.7,3.7,24.07,3.7,85.19,14.81,14.81,90.74,0,0,0,3.7,3.7,98.15,100,92.59,1.85,98.15,57.41,100
FCPU426,0,0,0,100,0,0,0,0,0,50,50,50,0,0,0,100,100,50,100,100,0,100,0,100
Fibrobacteres,0,0,0,100,50,100,0,0,100,50,0,50,0,50,50,50,50,50,100,100,0,100,100,100
Firestonebacteria,100,0,66.67,100,0,66.67,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100
Firmicutes,87.67,8.22,13.7,94.52,47.95,0,0,0,36.99,26.03,27.4,63.01,10.96,0,6.85,27.4,31.51,23.29,97.26,100,56.16,71.23,8.22,100
KSB1,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,100,0,100,100,100
Margulisbacteria,0,0,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,50,50,100
Nitrospirae,50,42.86,0,0,35.71,50,14.29,21.43,7.14,64.29,71.43,57.14,42.86,28.57,42.86,42.86,35.71,35.71,100,100,0,50,78.57,100
PVC,20.83,45.83,62.5,91.67,37.5,16.67,20.83,37.5,37.5,12.5,8.33,16.67,25,16.67,12.5,29.17,29.17,41.67,95.83,100,8.33,79.17,75,100
Raymondbacteria,0,0,0,83.33,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,100
Spirochaetes,20.59,11.76,17.65,85.29,14.71,8.82,5.88,23.53,35.29,29.41,23.53,29.41,14.71,8.82,5.88,26.47,20.59,29.41,100,100,14.71,64.71,55.88,100
Synergistaceae,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,100
Unclassified,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,100
WOR1,42.86,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,42.86,100,0,0,100,100
Phyla,65.2173913,56.52173913,43.47826087,78.26086957,52.17391304,65.2173913,56.52173913,43.47826087,56.52173913,47.82608696,34.7826087,52.17391304,56.52173913,60.86956522,60.86956522,69.56521739,69.56521739,65.2173913,100,100,43.47826087,95.65217391,86.95652174,100
Genomes,57.92,25.68,21.04,48.46,35.71,20.66,20.27,20.66,29.15,25.1,24.32,40.54,28.57,23.75,25.48,46.91,44.79,36.1,97.49,99.23,27.03,77.03,51.54,100